District,Soil_Type,Rainfall_mm,Crop,Season,Area_ha,Production_tonnes,Yield_tpha,Year
Anantapur,Red Soil,905,Rice,Kharif,28016,122990,4.39,2015
Anantapur,Red Soil,1116,Maize,Rabi,83838,399907,4.77,2015
Anantapur,Red Soil,1005,Groundnut,Kharif,145220,262848,1.81,2015
Anantapur,Red Soil,1076,Cotton,Kharif,138003,324307,2.35,2015
Anantapur,Red Soil,553,Millets,Kharif,56095,99288,1.77,2015
Anantapur,Red Soil,723,Pulses,Rabi,41160,59270,1.44,2015
Anantapur,Red Soil,991,Tomato,Rabi,40818,1089840,26.7,2015
Anantapur,Red Soil,1175,Chilli,Rabi,74712,288388,3.86,2015
Anantapur,Red Soil,875,Sugarcane,Annual,147966,12072545,81.59,2015
Chittoor,Red Soil,576,Rice,Kharif,15924,81371,5.11,2015
Chittoor,Red Soil,657,Maize,Rabi,8585,33138,3.86,2015
Chittoor,Red Soil,1199,Groundnut,Kharif,77231,125114,1.62,2015
Chittoor,Red Soil,639,Cotton,Kharif,124778,315688,2.53,2015
Chittoor,Red Soil,1165,Millets,Kharif,33323,58981,1.77,2015
Chittoor,Red Soil,1100,Pulses,Rabi,12013,18980,1.58,2015
Chittoor,Red Soil,810,Tomato,Rabi,13522,437571,32.36,2015
Chittoor,Red Soil,1096,Chilli,Rabi,69929,217479,3.11,2015
Chittoor,Red Soil,920,Sugarcane,Annual,30779,2395529,77.83,2015
Guntur,Clay Loam,715,Rice,Kharif,37138,176405,4.75,2015
Guntur,Clay Loam,1008,Maize,Rabi,36936,176184,4.77,2015
Guntur,Clay Loam,643,Groundnut,Kharif,128684,232918,1.81,2015
Guntur,Clay Loam,777,Cotton,Kharif,70359,168861,2.4,2015
Guntur,Clay Loam,721,Millets,Kharif,32424,39557,1.22,2015
Guntur,Clay Loam,646,Pulses,Rabi,51844,78284,1.51,2015
Guntur,Clay Loam,1126,Tomato,Rabi,37620,1101513,29.28,2015
Guntur,Clay Loam,903,Chilli,Rabi,75065,259724,3.46,2015
Guntur,Clay Loam,954,Sugarcane,Annual,44033,4101673,93.15,2015
Krishna,Clay Loam,826,Rice,Kharif,31318,131535,4.2,2015
Krishna,Clay Loam,789,Maize,Rabi,144305,627726,4.35,2015
Krishna,Clay Loam,819,Groundnut,Kharif,65536,123207,1.88,2015
Krishna,Clay Loam,872,Cotton,Kharif,99167,224117,2.26,2015
Krishna,Clay Loam,821,Millets,Kharif,46199,72532,1.57,2015
Krishna,Clay Loam,508,Pulses,Rabi,76641,85837,1.12,2015
Krishna,Clay Loam,890,Tomato,Rabi,5247,178817,34.08,2015
Krishna,Clay Loam,943,Chilli,Rabi,70114,175986,2.51,2015
Krishna,Clay Loam,1055,Sugarcane,Annual,103383,8401936,81.27,2015
East Godavari,Clay Soil,957,Rice,Kharif,75448,341779,4.53,2015
East Godavari,Clay Soil,825,Maize,Rabi,12774,59271,4.64,2015
East Godavari,Clay Soil,551,Groundnut,Kharif,118704,187552,1.58,2015
East Godavari,Clay Soil,870,Cotton,Kharif,123218,223024,1.81,2015
East Godavari,Clay Soil,878,Millets,Kharif,34255,58576,1.71,2015
East Godavari,Clay Soil,519,Pulses,Rabi,105038,142851,1.36,2015
East Godavari,Clay Soil,523,Tomato,Rabi,59966,1539926,25.68,2015
East Godavari,Clay Soil,608,Chilli,Rabi,146845,556542,3.79,2015
East Godavari,Clay Soil,862,Sugarcane,Annual,63752,4606082,72.25,2015
West Godavari,Clay Soil,1043,Rice,Kharif,146353,731765,5.0,2015
West Godavari,Clay Soil,507,Maize,Rabi,29580,140800,4.76,2015
West Godavari,Clay Soil,983,Groundnut,Kharif,118693,224329,1.89,2015
West Godavari,Clay Soil,1085,Cotton,Kharif,6262,13087,2.09,2015
West Godavari,Clay Soil,885,Millets,Kharif,14462,24296,1.68,2015
West Godavari,Clay Soil,751,Pulses,Rabi,60042,76253,1.27,2015
West Godavari,Clay Soil,568,Tomato,Rabi,8744,292574,33.46,2015
West Godavari,Clay Soil,1009,Chilli,Rabi,82115,215962,2.63,2015
West Godavari,Clay Soil,894,Sugarcane,Annual,96386,6962924,72.24,2015
Prakasam,Red Soil,1147,Rice,Kharif,21205,96906,4.57,2015
Prakasam,Red Soil,1098,Maize,Rabi,76899,373729,4.86,2015
Prakasam,Red Soil,1179,Groundnut,Kharif,119305,212362,1.78,2015
Prakasam,Red Soil,691,Cotton,Kharif,110604,211253,1.91,2015
Prakasam,Red Soil,833,Millets,Kharif,118678,185137,1.56,2015
Prakasam,Red Soil,651,Pulses,Rabi,52955,72548,1.37,2015
Prakasam,Red Soil,768,Tomato,Rabi,13416,415359,30.96,2015
Prakasam,Red Soil,715,Chilli,Rabi,19240,64261,3.34,2015
Prakasam,Red Soil,905,Sugarcane,Annual,138513,12042320,86.94,2015
Kadapa,Red Soil,1165,Rice,Kharif,92136,468972,5.09,2015
Kadapa,Red Soil,869,Maize,Rabi,141768,584084,4.12,2015
Kadapa,Red Soil,905,Groundnut,Kharif,65429,125623,1.92,2015
Kadapa,Red Soil,935,Cotton,Kharif,53254,131004,2.46,2015
Kadapa,Red Soil,839,Millets,Kharif,82496,122094,1.48,2015
Kadapa,Red Soil,1019,Pulses,Rabi,32512,45841,1.41,2015
Kadapa,Red Soil,757,Tomato,Rabi,66127,2059856,31.15,2015
Kadapa,Red Soil,792,Chilli,Rabi,133196,360961,2.71,2015
Kadapa,Red Soil,1050,Sugarcane,Annual,62611,5725775,91.45,2015
Nellore,Sandy Soil,929,Rice,Kharif,24386,101445,4.16,2015
Nellore,Sandy Soil,560,Maize,Rabi,126350,548359,4.34,2015
Nellore,Sandy Soil,942,Groundnut,Kharif,58587,101355,1.73,2015
Nellore,Sandy Soil,967,Cotton,Kharif,47300,96018,2.03,2015
Nellore,Sandy Soil,1092,Millets,Kharif,25442,38926,1.53,2015
Nellore,Sandy Soil,660,Pulses,Rabi,108270,109352,1.01,2015
Nellore,Sandy Soil,1153,Tomato,Rabi,134184,3514278,26.19,2015
Nellore,Sandy Soil,1043,Chilli,Rabi,144543,543481,3.76,2015
Nellore,Sandy Soil,900,Sugarcane,Annual,126248,11629965,92.12,2015
Visakhapatnam,Laterite Soil,597,Rice,Kharif,62614,266735,4.26,2015
Visakhapatnam,Laterite Soil,643,Maize,Rabi,43793,200134,4.57,2015
Visakhapatnam,Laterite Soil,964,Groundnut,Kharif,12421,22978,1.85,2015
Visakhapatnam,Laterite Soil,628,Cotton,Kharif,86204,205165,2.38,2015
Visakhapatnam,Laterite Soil,1040,Millets,Kharif,50938,90160,1.77,2015
Visakhapatnam,Laterite Soil,1159,Pulses,Rabi,136826,202502,1.48,2015
Visakhapatnam,Laterite Soil,1193,Tomato,Rabi,37768,802192,21.24,2015
Visakhapatnam,Laterite Soil,750,Chilli,Rabi,115325,407097,3.53,2015
Visakhapatnam,Laterite Soil,601,Sugarcane,Annual,59899,4555318,76.05,2015
Vizianagaram,Red Loam,834,Rice,Kharif,131188,652004,4.97,2015
Vizianagaram,Red Loam,743,Maize,Rabi,37660,183404,4.87,2015
Vizianagaram,Red Loam,1099,Groundnut,Kharif,139255,250659,1.8,2015
Vizianagaram,Red Loam,502,Cotton,Kharif,106392,192569,1.81,2015
Vizianagaram,Red Loam,601,Millets,Kharif,40660,56110,1.38,2015
Vizianagaram,Red Loam,1139,Pulses,Rabi,89129,127454,1.43,2015
Vizianagaram,Red Loam,858,Tomato,Rabi,101937,2364938,23.2,2015
Vizianagaram,Red Loam,611,Chilli,Rabi,13192,36937,2.8,2015
Vizianagaram,Red Loam,997,Sugarcane,Annual,140769,11871049,84.33,2015
Srikakulam,Red Loam,1105,Rice,Kharif,86179,351610,4.08,2015
Srikakulam,Red Loam,837,Maize,Rabi,40841,165406,4.05,2015
Srikakulam,Red Loam,688,Groundnut,Kharif,107481,156922,1.46,2015
Srikakulam,Red Loam,1176,Cotton,Kharif,21862,53343,2.44,2015
Srikakulam,Red Loam,955,Millets,Kharif,119537,191259,1.6,2015
Srikakulam,Red Loam,952,Pulses,Rabi,104715,159166,1.52,2015
Srikakulam,Red Loam,866,Tomato,Rabi,143023,2911948,20.36,2015
Srikakulam,Red Loam,771,Chilli,Rabi,129592,467827,3.61,2015
Srikakulam,Red Loam,680,Sugarcane,Annual,141663,11015714,77.76,2015
Kurnool,Black Soil,589,Rice,Kharif,108485,484927,4.47,2015
Kurnool,Black Soil,1154,Maize,Rabi,70609,276787,3.92,2015
Kurnool,Black Soil,768,Groundnut,Kharif,78925,153114,1.94,2015
Kurnool,Black Soil,1014,Cotton,Kharif,105472,288993,2.74,2015
Kurnool,Black Soil,753,Millets,Kharif,76105,111874,1.47,2015
Kurnool,Black Soil,969,Pulses,Rabi,83134,96435,1.16,2015
Kurnool,Black Soil,1003,Tomato,Rabi,10532,270883,25.72,2015
Kurnool,Black Soil,797,Chilli,Rabi,31950,80514,2.52,2015
Kurnool,Black Soil,1189,Sugarcane,Annual,27416,2071278,75.55,2015
Eluru,Clay Loam,709,Rice,Kharif,68055,342316,5.03,2015
Eluru,Clay Loam,948,Maize,Rabi,84110,347374,4.13,2015
Eluru,Clay Loam,507,Groundnut,Kharif,141854,286545,2.02,2015
Eluru,Clay Loam,546,Cotton,Kharif,106016,273521,2.58,2015
Eluru,Clay Loam,643,Millets,Kharif,35876,47715,1.33,2015
Eluru,Clay Loam,994,Pulses,Rabi,18322,22719,1.24,2015
Eluru,Clay Loam,579,Tomato,Rabi,16995,344998,20.3,2015
Eluru,Clay Loam,615,Chilli,Rabi,50982,201888,3.96,2015
Eluru,Clay Loam,734,Sugarcane,Annual,103748,8680595,83.67,2015
Bapatla,Sandy Loam,659,Rice,Kharif,51408,227737,4.43,2015
Bapatla,Sandy Loam,680,Maize,Rabi,34782,140867,4.05,2015
Bapatla,Sandy Loam,979,Groundnut,Kharif,113433,181492,1.6,2015
Bapatla,Sandy Loam,1001,Cotton,Kharif,5955,16554,2.78,2015
Bapatla,Sandy Loam,1200,Millets,Kharif,115691,149241,1.29,2015
Bapatla,Sandy Loam,773,Pulses,Rabi,92471,134082,1.45,2015
Bapatla,Sandy Loam,1132,Tomato,Rabi,39316,996267,25.34,2015
Bapatla,Sandy Loam,786,Chilli,Rabi,122145,350556,2.87,2015
Bapatla,Sandy Loam,1087,Sugarcane,Annual,134299,11772650,87.66,2015
Anantapur,Red Soil,1031,Rice,Kharif,142640,620484,4.35,2016
Anantapur,Red Soil,690,Maize,Rabi,74958,291586,3.89,2016
Anantapur,Red Soil,866,Groundnut,Kharif,25543,37037,1.45,2016
Anantapur,Red Soil,1152,Cotton,Kharif,82770,218512,2.64,2016
Anantapur,Red Soil,631,Millets,Kharif,22364,34887,1.56,2016
Anantapur,Red Soil,719,Pulses,Rabi,44998,67047,1.49,2016
Anantapur,Red Soil,575,Tomato,Rabi,86012,2538214,29.51,2016
Anantapur,Red Soil,1188,Chilli,Rabi,69487,231391,3.33,2016
Anantapur,Red Soil,977,Sugarcane,Annual,5196,463794,89.26,2016
Chittoor,Red Soil,785,Rice,Kharif,26923,121153,4.5,2016
Chittoor,Red Soil,955,Maize,Rabi,132901,542236,4.08,2016
Chittoor,Red Soil,709,Groundnut,Kharif,70084,113536,1.62,2016
Chittoor,Red Soil,666,Cotton,Kharif,53382,104628,1.96,2016
Chittoor,Red Soil,1075,Millets,Kharif,68754,121694,1.77,2016
Chittoor,Red Soil,1048,Pulses,Rabi,139419,186821,1.34,2016
Chittoor,Red Soil,1112,Tomato,Rabi,102747,2331329,22.69,2016
Chittoor,Red Soil,627,Chilli,Rabi,55113,219900,3.99,2016
Chittoor,Red Soil,542,Sugarcane,Annual,44672,3355760,75.12,2016
Guntur,Clay Loam,840,Rice,Kharif,84073,391780,4.66,2016
Guntur,Clay Loam,618,Maize,Rabi,77633,383507,4.94,2016
Guntur,Clay Loam,707,Groundnut,Kharif,140413,299079,2.13,2016
Guntur,Clay Loam,900,Cotton,Kharif,90381,167204,1.85,2016
Guntur,Clay Loam,1193,Millets,Kharif,121409,208823,1.72,2016
Guntur,Clay Loam,913,Pulses,Rabi,77529,82956,1.07,2016
Guntur,Clay Loam,786,Tomato,Rabi,44538,1190055,26.72,2016
Guntur,Clay Loam,710,Chilli,Rabi,43529,170633,3.92,2016
Guntur,Clay Loam,965,Sugarcane,Annual,7941,571116,71.92,2016
Krishna,Clay Loam,600,Rice,Kharif,20794,105009,5.05,2016
Krishna,Clay Loam,801,Maize,Rabi,143780,585184,4.07,2016
Krishna,Clay Loam,944,Groundnut,Kharif,124079,266769,2.15,2016
Krishna,Clay Loam,769,Cotton,Kharif,20174,52250,2.59,2016
Krishna,Clay Loam,1019,Millets,Kharif,21345,37994,1.78,2016
Krishna,Clay Loam,573,Pulses,Rabi,91318,129671,1.42,2016
Krishna,Clay Loam,845,Tomato,Rabi,9186,245909,26.77,2016
Krishna,Clay Loam,1140,Chilli,Rabi,74315,222945,3.0,2016
Krishna,Clay Loam,1143,Sugarcane,Annual,55206,4715144,85.41,2016
East Godavari,Clay Soil,943,Rice,Kharif,84390,395789,4.69,2016
East Godavari,Clay Soil,737,Maize,Rabi,43281,180914,4.18,2016
East Godavari,Clay Soil,857,Groundnut,Kharif,26610,41777,1.57,2016
East Godavari,Clay Soil,1098,Cotton,Kharif,47933,97783,2.04,2016
East Godavari,Clay Soil,575,Millets,Kharif,65819,111234,1.69,2016
East Godavari,Clay Soil,563,Pulses,Rabi,131669,180386,1.37,2016
East Godavari,Clay Soil,658,Tomato,Rabi,120322,3085056,25.64,2016
East Godavari,Clay Soil,580,Chilli,Rabi,49970,165400,3.31,2016
East Godavari,Clay Soil,1164,Sugarcane,Annual,114329,9417279,82.37,2016
West Godavari,Clay Soil,1077,Rice,Kharif,54387,232232,4.27,2016
West Godavari,Clay Soil,1119,Maize,Rabi,140665,602046,4.28,2016
West Godavari,Clay Soil,862,Groundnut,Kharif,77380,116070,1.5,2016
West Godavari,Clay Soil,503,Cotton,Kharif,47665,106769,2.24,2016
West Godavari,Clay Soil,665,Millets,Kharif,105020,181684,1.73,2016
West Godavari,Clay Soil,538,Pulses,Rabi,10480,10794,1.03,2016
West Godavari,Clay Soil,610,Tomato,Rabi,140223,3302251,23.55,2016
West Godavari,Clay Soil,762,Chilli,Rabi,72144,200560,2.78,2016
West Godavari,Clay Soil,1137,Sugarcane,Annual,49460,3684770,74.5,2016
Prakasam,Red Soil,1182,Rice,Kharif,63575,329954,5.19,2016
Prakasam,Red Soil,544,Maize,Rabi,108130,491991,4.55,2016
Prakasam,Red Soil,880,Groundnut,Kharif,46596,90862,1.95,2016
Prakasam,Red Soil,1171,Cotton,Kharif,17084,45955,2.69,2016
Prakasam,Red Soil,971,Millets,Kharif,7599,10030,1.32,2016
Prakasam,Red Soil,970,Pulses,Rabi,66915,97695,1.46,2016
Prakasam,Red Soil,733,Tomato,Rabi,73797,1664122,22.55,2016
Prakasam,Red Soil,775,Chilli,Rabi,52751,190431,3.61,2016
Prakasam,Red Soil,1071,Sugarcane,Annual,125384,10563602,84.25,2016
Kadapa,Red Soil,626,Rice,Kharif,146201,596500,4.08,2016
Kadapa,Red Soil,790,Maize,Rabi,91573,369039,4.03,2016
Kadapa,Red Soil,1179,Groundnut,Kharif,141587,229370,1.62,2016
Kadapa,Red Soil,945,Cotton,Kharif,73704,143722,1.95,2016
Kadapa,Red Soil,979,Millets,Kharif,14856,23769,1.6,2016
Kadapa,Red Soil,1139,Pulses,Rabi,109883,173615,1.58,2016
Kadapa,Red Soil,699,Tomato,Rabi,17157,570641,33.26,2016
Kadapa,Red Soil,766,Chilli,Rabi,124299,370411,2.98,2016
Kadapa,Red Soil,746,Sugarcane,Annual,67614,5616694,83.07,2016
Nellore,Sandy Soil,1009,Rice,Kharif,89883,367621,4.09,2016
Nellore,Sandy Soil,1051,Maize,Rabi,61707,284469,4.61,2016
Nellore,Sandy Soil,600,Groundnut,Kharif,148333,277382,1.87,2016
Nellore,Sandy Soil,1044,Cotton,Kharif,10690,27900,2.61,2016
Nellore,Sandy Soil,796,Millets,Kharif,44423,54640,1.23,2016
Nellore,Sandy Soil,661,Pulses,Rabi,21235,22084,1.04,2016
Nellore,Sandy Soil,865,Tomato,Rabi,121661,2904048,23.87,2016
Nellore,Sandy Soil,861,Chilli,Rabi,27680,75012,2.71,2016
Nellore,Sandy Soil,506,Sugarcane,Annual,109210,8842733,80.97,2016
Visakhapatnam,Laterite Soil,920,Rice,Kharif,74189,380589,5.13,2016
Visakhapatnam,Laterite Soil,945,Maize,Rabi,21248,96678,4.55,2016
Visakhapatnam,Laterite Soil,792,Groundnut,Kharif,54256,78128,1.44,2016
